gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
None,n a,3184,"['40478371', '40378666', '40368083', '40319651', '40284993', '40280608', '40273021', '40216245', '40199271', '40184187', '40172287', '40137761', '40125997', '40111116', '40102293', '40100961', '40078873', '40017221', '40015118', '39982155', '39982153', '39976491', '39971654', '39965633', '39964222', '39961104', '39924648', '39918376', '39846796', '39831418', '39774137', '39750062', '39736782', '39718419', '39657221', '39637258', '39570724', '39549093', '39546852', '39513987', '39476506', '39413334', '39379809', '39358269', '39297738', '39298641', '39283189', '39277142', '39262384', '39258974', '39256525', '39198963', '39166925', '39162600', '39160575', '39143544', '39137035', '39115853', '39079920', '39079037', '39072327', '39019022', '39013184', '38985853', '38980983', '38973774', '38968174', '38958568', '38957281', '38916619', '38909012', '38902832', '38897236', '38877003', '38876816', '38839818', '38836691', '38827616', '38787299', '38780372', '38709081', '38694845', '38693444', '38668291', '38663051', '38661178', '38609748', '38598136', '38588770', '38551135', '38530078', '38517572', '38517233', '38502804', '38491449', '38470444', '38465952', '38447681', '38433267', '38418981', '38417965', '38403531', '38385751', '38379448', '38360591', '38353591', '38353586', '38351524', '38330240', '38317164', '38305702', '38296223', '38252732', '38240507', '38224369', '38142638', '38118174', '38059732', '37979594', '37976319', '37972503', '37972276', '37971871', '37971267', '37935733', '37926195', '37896852', '37878412', '37827729', '37827070', '37768533', '37729722', '37728179', '37708960', '37705364', '37704035', '37704015', '37684308', '37678209', '37673643', '37667920', '37608706', '37607081', '37587378', '37563944', '37563529', '37554063', '37548511', '37548509', '37516286', '37490935', '37470680', '37457950', '37450547', '37448998', '37437944', '37423820', '37395622', '37391965', '37387494', '37356986', '37355821', '37354347', '37346003', '37338282', '37338074', '37330437', '37326473', '37314395', '37314247', '37308975', '37307130', '37279857', '37276351', '37272946', '37270682', '37260317', '37260310', '37248291', '37186782', '37171971', '37116228', '37098442', '37093493', '37092821', '37087544', '37068899', '37061354', '36920081', '36815748', '36809850', '36790198', '36773773', '36728869', '36726632', '36695377', '36649399', '36645160', '36638407', '36635328', '36635127', '36598246', '36577999', '36564872', '36562614', '36562148', '36480356', '36463252', '36400087', '36378703', '36351616', '36344341', '36321557', '36306123', '36305182', '36270538', '36216237', '36214585', '36214398', '36165937', '36156368', '36102733', '36094492', '36092963', '36084575', '36048569', '36044827', '36044313', '35945163', '35916524', '35907772', '35904262', '35891513', '35882504', '35863358', '35835561', '35820876', '35779495', '35758566', '35731639', '35726559', '35711149', '35695852', '35691326', '35687652', '35687094', '35686502', '35674637', '35642883', '35642541', '35639190', '35612897', '35606239', '35594784', '35583617', '35580283', '35574977', '35538390', '35506838', '35485786', '35481953', '35438474', '35435886', '35431096', '35403845', '35389381', '35384809', '35367773', '35358332', '35348825', '35304994', '35250001', '35236308', '35226141', '35170535', '35166423', '35120041', '35119788', '35119428', '35114301', '35022750', '35001582', '34991135', '34989704', '34981474', '34930794', '34918959', '34911375', '34872054', '34861816', '34839885', '34806622', '34730876', '34727860', '34725702', '34666695', '34627195', '34612849', '34612848', '34606667', '34605779', '34593682', '34589552', '34582410', '34560770', '34544184', '34534131', '34519852', '34495696', '34418273', '34418158', '34406170', '34379881', '34376757', '34314131', '34301492', '34261926', '34236024', '34156474', '34153469', '34097231', '34052145', '34042847', '34023574', '34011423', '34009385', '34008394', '33998666', '33998665', '33998115', '33991307', '33985398', '33967206', '33965991', '33962811', '33938715', '33927121', '33906228', '33893492', '33889244', '33883572', '33861547', '33858861', '33856027', '33843404', '33837904', '33835249', '33790693', '33781532', '33780805', '33777430', '33755176', '33731607', '33729727', '33729723', '33729720', '33719730', '33711001', '33709568', '33638727', '33598863', '33591014', '33591010', '33591007', '33566467', '33565123', '33534389', '33492719', '33478004', '33461864', '33446133', '33445846', '33383553', '33382202', '33372748', '33333071', '33292922', '33288730', '33264364', '33250336', '33239088', '33227230', '33201004', '33198787', '33131508', '33128310', '33122577', '33122141', '33095105', '33065587', '33048903', '33031352', '33012543', '33009097', '33003178', '32960928', '32959779', '32947466', '32931194', '32931189', '32898161', '32897664', '32896093', '32885941', '32885937', '32869098', '32858738', '32841941', '32828748', '32828186', '32826822', '32825857', '32815593', '32815508', '32799811', '32799356', '32798237', '32795367', '32791667', '32790786', '32788015', '32769680', '32763194', '32740190', '32740186', '32726531', '32712664', '32706559', '32706554', '32706285', '32701747', '32697495', '32684214', '32650126', '32605567', '32590388', '32569242', '32541376', '32513908', '32511201', '32507857', '32503647', '32499777', '32497174', '32493435', '32473206', '32468151', '32442451', '32413170', '32407901', '32381135', '32345833', '32342857', '32324353', '32317599', '32307701', '32304414', '32304092', '32301846', '32297949', '32284611', '32284068', '32282349', '32271185', '32220479', '32205591', '32201121', '32195902', '32170652', '32168303', '32124485', '32096303', '32092384', '32085966', '32084099', '32061813', '32058372', '32058368', '32058367', '32058366', '32045375', '32032262', '32006733', '32000528', '31980224', '31959476', '31939789', '31939788', '31924521', '31916880', '31915135', '31898245', '31858869', '31857208', '31852650', '31851901', '31828316', '31808452', '31804299', '31794682', '31791157', '31789702', '31787972', '31753895', '31753551', '31728749', '31725532', '31714400', '31712096', '31702704', '31683278', '31639733', '31637986', '31636900', '31626041', '31597777', '31594258', '31584458', '31569138', '31568052', '31562024', '31550295', '31545160', '31521479', '31517693', '31509211', '31492105', '31487992', '31469596', '31448106', '31447369', '31434239', '31431766', '31403217', '31397716', '31397713', '31385882', '31383021', '31381376', '31373185', '31369426', '31356712', '31343474', '31327563', '31323346', '31315795', '31310860', '31307834', '31306256', '31301874', '31290240', '31282366', '31274776', '31261227', '31250464', '31208272', '31202517', '31197225', '31185294', '31170237', '31162206', '31145479', '31145055', '31138262', '31135504', '31135503', '31107376', '31094887', '31094740', '31074043', '31071432', '31066353', '31062605', '31060053', '31050253', '31047675', '31044070', '31013271', '30998819', '30998606', '30961824', '30932299', '30921240', '30914107', '30911804', '30896608', '30896466', '30894090', '30891605', '30889134', '30850112', '30841721', '30807529', '30789402', '30768498', '30768190', '30747773', '30730442', '30724730', '30720672', '30720645', '30720537', '30712048', '30711778', '30704933', '30688717', '30676337', '30670667', '30669211', '30664526', '30657788', '30657536', '30642942', '30640887', '30624811', '30605393', '30581369', '30580542', '30565009', '30544677', '30522410', '30477525', '30468722', '30458740', '30431493', '30425130', '30395024', '30394917', '30388965', '30388194', '30348506', '30338061', '30332675', '30325560', '30322952', '30303835', '30299568', '30297806', '30286031', '30274834', '30258217', '30258136', '30247269', '30247215', '30238870', '30234742', '30220642', '30206349', '30185096', '30170397', '30168077', '30165645', '30159666', '30153044', '30143706', '30132782', '30130262', '30130261', '30126825', '30117400', '30099554', '30097020', '30095495', '30092780', '30087164', '30082858', '30082285', '30059364', '30055584', '30052552', '30051317', '30048396', '30048365', '30048332', '30036234', '30028492', '30028362', '30024430', '30015667', '29998385', '29990331', '29985808', '29977038', '29965833', '29959455', '29953420', '29946175', '29939978', '29934714', '29924325', '29923938', '29906560', '29888655', '29859799', '29859132', '29848937', '29847401', '29845414', '29782390', '29776367', '29768249', '29747317', '29742588', '29742586', '29742584', '29727371', '29726345', '29720451', '29715258', '29706801', '29683753', '29677008', '29666424', '29653733', '29601996', '29601599', '29581048', '29550232', '29548863', '29546809', '29544577', '29537985', '29533311', '29517549', '29489054', '29474320', '29470247', '29461429', '29459977', '29455535', '29438109', '29433440', '29432349', '29394222', '29382531', '29377867', '29374661', '29369937', '29369828', '29358056', '29357050', '29355160', '29353463', '29345221', '29317174', '29309371', '29308908', '29303884', '29303798', '29293143', '29286945', '29281643', '29270816', '29252929', '29242012', '29219944', '29206765', '29203486', '29196046', '29191738', '29189638', '29170899', '29116996', '29112080', '29110722', '29102324', '29097640', '29088252', '29088103', '29081491', '29068859', '29068858', '29068553', '29045192', '29035656', '29022924', '29016327', '28993332', '28991828', '28991825', '28968794', '28956255', '28941540', '28937407', '28931365', '28926489', '28906284', '28885937', '28873140', '28863028', '28833590', '28827065', '28821492', '28817507', '28817480', '28816920', '28802148', '28797204', '28784175', '28777198', '28754460', '28752431', '28749085', '28742550', '28742549', '28737573', '28700505', '28688238', '28658197', '28658023', '28655385', '28650129', '28632827', '28625271', '28625259', '28617763', '28559247', '28557148', '28549024', '28548951', '28499953', '28486385', '28481953', '28475779', '28471814', '28466611', '28437373', '28434039', '28426466', '28422777', '28419083', '28363079', '28359977', '28350646', '28341094', '28306338', '28296811', '28296810', '28296013', '28295988', '28285281', '28283014', '28257336', '28257334', '28240686', '28238385', '28210888', '28153824', '28151758', '28141683', '28139542', '28132873', '28114166', '28108867', '28107750', '28098624', '28089444', '28079604', '28078947', '28073314', '28067713', '28060151', '28056957', '28040091', '28029501', '28011352', '27940189', '27893784', '27890015', '27885442', '27879486', '27876693', '27875793', '27863269', '27854510', '27848903', '27829181', '27820718', '27566006', '27734505', '27804901', '26983438', '27766802', '27763961', '27708007', '27751752', '27513541', '27441905', '27441903', '27701021', '27699447', '27679871', '27668762', '27654636', '27648488', '27635771', '27618277', '27592234', '29906072', '27568365', '27556266', '27548818', '27513354', '27500722', '27500612', '27495247', '27481757', '27477368', '27472991', '27453197', '27452809', '27441906', '27441899', '27430122', '27428136', '27428542', '27418288', '27414477', '27398809', '27384443', '27362850', '27355222', '27352126', '27352125', '27322364', '27287231', '27266348', '27258513', '27238354', '27234738', '27225264', '27194762', '27171941', '27158907', '27144501', '27124566', '27120256', '27110744', '27101567', '27089205', '27078668', '27062656', '27048508', '27043996', '27037598', '27031382', '27031381', '27028604', '27002276', '26992066', '26988923', '26982169', '26963758', '26958751', '26953202', '26932135', '26927938', '26916753', '26907734', '26906192', '26906181', '26905981', '26901543', '26895704', '26863481', '26809341', '26807681', '26741577', '26738763', '26721694', '26721294', '28520329', '26720209', '26711917', '26709942', '26685896', '26674793', '26670473', '26666699', '26643605', '26607309', '26606522', '26598718', '26591287', '26589771', '26582876', '26573617', '26562345', '26558621', '26543157', '26542649', '26540401', '26537969', '26526804', '26518234', '26510460', '26509322', '26496452', '26491865', '26481315']",,,,
MERTK,mer proto oncogene tyrosine kinase,8,"['40177399', '39844345', '36370949', '33803290', '33610685', '30578307', '24091387', '23835724']",MERTK,MERTK,10461,"MER proto-oncogene, tyrosine kinase"
FYN,fyn proto oncogene src family tyrosine kinase,8,"['39430765', '39305888', '38513536', '36597771', '36272670', '34397323', '32565338', '26678483']",FYN,FYN,2534,"FYN proto-oncogene, Src family tyrosine kinase"
PDE4C,phosphodiesterase 4c,0,[],PDE4C,PDE4C,5143,phosphodiesterase 4C
microrna s,micrornas,0,[],,,,
APOB,apolipoprotein b,33,"['38603717', '38404277', '38380649', '37898443', '36459524', '34920728', '28500816', '26252194', '24367701', '22512779', '22315404', '21923231', '21113081', '20682323', '19669126', '19221931', '18669611', '18231776', '17212640', '16719989', '14983228', '12803885', '12771603', '12528325', '11311995', '11160139', '11104013', '11035097', '9456225', '7735954', '8231164', '1576163', '2070076']",APOB,APOB,338,apolipoprotein B
STIM1,stromal interaction molecule 1,6,"['38010088', '35713214', '33713955', '33189984', '27099074', '23348743']",STIM1,STIM1,6786,stromal interaction molecule 1
C1QB,complement c1q b chain,2,"['38781871', '36703279']",C1QB,C1QB,713,complement C1q B chain
CCL3L1,cult confl,1,['36726139'],CCL3L1,CCL3L1,6349,C-C motif chemokine ligand 3 like 1
MAP1LC3B,microtubule associated protein 1 light chain 3 beta,3,"['37861563', '25483963', '23971531']",MAP1LC3B,MAP1LC3B,81631,microtubule associated protein 1 light chain 3 beta
TMSB4X,thymosin beta 4 x linked,2,"['35932611', '35681439']",TMSB4X,TMSB4X,7114,thymosin beta 4 X-linked
MAPK1,mitogen activated protein kinase 1,10,"['39238407', '36117534', '35413868', '35178159', '34783627', '33565395', '32393985', '27031380', '26670667', '25483963']",MAPK1,MAPK1,5594,mitogen-activated protein kinase 1
NDUFB5,electron transport complex i,1,['31794266'],NDUFB5,NDUFB5,4711,NADH:ubiquinone oxidoreductase subunit B5
SERPING1,serpin family g member 1,2,"['40208026', '34668383']",SERPING1,SERPING1,710,serpin family G member 1
MAPK9,mitogen activated protein kinase 9,0,[],MAPK9,MAPK9,5601,mitogen-activated protein kinase 9
CD33,cd33 molecule,10,"['34058975', '33708213', '29621339', '27993995', '23683466', '20103782', '19387774', '10969258', '10229403', '7693040']",CD33,CD33,945,CD33 molecule
LEP,leptin,110,"['40181286', '39838305', '39566813', '38175644', '37802127', '37706441', '36840516', '36455260', '34994068', '34229261', '34102805', '33907162', '33606478', '32340138', '32151020', '31830702', '31637623', '30579593', '30546070', '30422702', '30332461', '30224938', '30195817', '29940615', '29868503', '28320304', '30133236', '28125530', '28114167', '28031338', '27867249', '27638007', '27483701', '27172993', '27126803', '26646099', '26321668', '25953914', '25844479', '25687164', '25398383', '24606499', '24595112', '24578293', '24524473', '24186864', '24155903', '23800646', '23010503', '22973876', '22509382', '22474187', '22334256', '21824784', '21430397', '21092004', '20923403', '20871818', '20825686', '20726767', '20606490', '20530747', '20519646', '20427662', '20392294', '20230641', '20084913', '19587263', '19576209', '18677510', '18665045', '18575315', '18556075', '18431307', '18431270', '17822444', '17681405', '17374708', '21171376', '17092417', '16735484', '16489668', '16465060', '15765399', '15501457', '15456585', '15005922', '14978166', '14732814', '14714752', '12880122', '12619302', '12448201', '12392278', '12162591', '11829320', '11714034', '11505720', '11356713', '10793089', '10701765', '10686519', '10670656', '10660502', '10500943', '10438392', '10198301', '10191247', '9930630', '9728566']",LEP,LEP,3952,leptin
SELP,selectin p,20,"['39405404', '37467969', '34551286', '33053025', '33048962', '32013235', '31488213', '25773400', '24576991', '23871455', '21757502', '20518087', '20398379', '19779296', '17314070', '17291476', '11372673', '11243971', '10628605', '10514421']",SELP,SELP,6403,selectin P
